New head: (9,20)Removed tail: (9,23)Current head: (9,20)
New head: (8,20)Removed tail: (10,23)Current head: (8,20)
New head: (8,19)Removed tail: (10,22)Current head: (8,19)
New head: (8,18)Removed tail: (10,21)Current head: (8,18)
New head: (8,17)Removed tail: (10,20)Current head: (8,17)
New head: (8,16)Current head: (8,16)
New head: (8,15)Removed tail: (9,20)Current head: (8,15)
New head: (8,14)Removed tail: (8,20)Current head: (8,14)
New head: (8,13)Removed tail: (8,19)Current head: (8,13)
New head: (9,13)Removed tail: (8,18)Current head: (9,13)
New head: (10,13)Removed tail: (8,17)Current head: (10,13)
New head: (11,13)Removed tail: (8,16)Current head: (11,13)
New head: (11,14)Removed tail: (8,15)Current head: (11,14)
New head: (11,15)Removed tail: (8,14)Current head: (11,15)
New head: (10,15)Removed tail: (8,13)Current head: (10,15)
New head: (9,15)Removed tail: (9,13)Current head: (9,15)
New head: (8,15)Removed tail: (10,13)Current head: (8,15)
New head: (8,16)Removed tail: (11,13)Current head: (8,16)
New head: (8,17)Removed tail: (11,14)Current head: (8,17)
New head: (8,18)Removed tail: (11,15)Current head: (8,18)
New head: (7,18)Removed tail: (10,15)Current head: (7,18)
New head: (6,18)Removed tail: (9,15)Current head: (6,18)
New head: (6,19)Removed tail: (8,15)Current head: (6,19)
New head: (6,20)Removed tail: (8,16)Current head: (6,20)
New head: (6,21)Removed tail: (8,17)Current head: (6,21)
New head: (6,22)Removed tail: (8,18)Current head: (6,22)
New head: (5,22)Removed tail: (7,18)Current head: (5,22)
New head: (4,22)Removed tail: (6,18)Current head: (4,22)
New head: (4,23)Removed tail: (6,19)Current head: (4,23)
New head: (4,24)Removed tail: (6,20)Current head: (4,24)
New head: (4,25)Removed tail: (6,21)Current head: (4,25)
New head: (3,25)Removed tail: (6,22)Current head: (3,25)
New head: (2,25)Removed tail: (5,22)Current head: (2,25)
New head: (1,25)Removed tail: (4,22)Current head: (1,25)
New head: (1,26)Removed tail: (4,23)Current head: (1,26)
New head: (1,27)Removed tail: (4,24)Current head: (1,27)
New head: (1,28)Removed tail: (4,25)Current head: (1,28)
New head: (1,29)Removed tail: (3,25)Current head: (1,29)
New head: (2,29)Removed tail: (2,25)Current head: (2,29)
New head: (3,29)Removed tail: (1,25)Current head: (3,29)
New head: (4,29)Removed tail: (1,26)Current head: (4,29)
New head: (4,30)Removed tail: (1,27)Current head: (4,30)
New head: (4,31)Removed tail: (1,28)Current head: (4,31)
New head: (3,31)Removed tail: (1,29)Current head: (3,31)
New head: (2,31)Removed tail: (2,29)Current head: (2,31)
New head: (1,31)Removed tail: (3,29)Current head: (1,31)
New head: (1,32)Removed tail: (4,29)Current head: (1,32)
New head: (1,33)Removed tail: (4,30)Current head: (1,33)
New head: (1,34)Removed tail: (4,31)Current head: (1,34)
New head: (1,35)Removed tail: (3,31)Current head: (1,35)
New head: (2,35)Removed tail: (2,31)Current head: (2,35)
New head: (3,35)Removed tail: (1,31)Current head: (3,35)
New head: (4,35)Removed tail: (1,32)Current head: (4,35)
New head: (4,36)Removed tail: (1,33)Current head: (4,36)
New head: (4,37)Removed tail: (1,34)Current head: (4,37)
New head: (3,37)Removed tail: (1,35)Current head: (3,37)
New head: (2,37)Removed tail: (2,35)Current head: (2,37)
New head: (1,37)Removed tail: (3,35)Current head: (1,37)
New head: (1,38)Removed tail: (4,35)Current head: (1,38)
New head: (1,39)Removed tail: (4,36)Current head: (1,39)
New head: (1,40)Removed tail: (4,37)Current head: (1,40)
New head: (1,41)Removed tail: (3,37)Current head: (1,41)
New head: (1,42)Removed tail: (2,37)Current head: (1,42)
New head: (2,42)Current head: (2,42)
New head: (3,42)Removed tail: (1,37)Current head: (3,42)
New head: (4,42)Removed tail: (1,38)Current head: (4,42)
New head: (5,42)Removed tail: (1,39)Current head: (5,42)
New head: (6,42)Removed tail: (1,40)Current head: (6,42)
New head: (7,42)Removed tail: (1,41)Current head: (7,42)
New head: (8,42)Removed tail: (1,42)Current head: (8,42)
New head: (8,41)Removed tail: (2,42)Current head: (8,41)
New head: (8,40)Removed tail: (3,42)Current head: (8,40)
New head: (9,40)Removed tail: (4,42)Current head: (9,40)
New head: (10,40)Removed tail: (5,42)Current head: (10,40)
New head: (10,39)Removed tail: (6,42)Current head: (10,39)
New head: (10,38)Removed tail: (7,42)Current head: (10,38)
New head: (11,38)Removed tail: (8,42)Current head: (11,38)
New head: (12,38)Removed tail: (8,41)Current head: (12,38)
New head: (12,37)Removed tail: (8,40)Current head: (12,37)
New head: (12,36)Removed tail: (9,40)Current head: (12,36)
New head: (13,36)Removed tail: (10,40)Current head: (13,36)
New head: (14,36)Removed tail: (10,39)Current head: (14,36)
New head: (14,35)Removed tail: (10,38)Current head: (14,35)
New head: (14,34)Removed tail: (11,38)Current head: (14,34)
New head: (14,33)Removed tail: (12,38)Current head: (14,33)
New head: (14,32)Removed tail: (12,37)Current head: (14,32)
New head: (14,31)Removed tail: (12,36)Current head: (14,31)
New head: (13,31)Current head: (13,31)
New head: (12,31)Removed tail: (13,36)Current head: (12,31)
New head: (11,31)Removed tail: (14,36)Current head: (11,31)
New head: (11,32)Removed tail: (14,35)Current head: (11,32)
New head: (11,33)Removed tail: (14,34)Current head: (11,33)
New head: (11,34)Removed tail: (14,33)Current head: (11,34)
New head: (11,35)Removed tail: (14,32)Current head: (11,35)
New head: (11,36)Removed tail: (14,31)Current head: (11,36)
New head: (10,36)Removed tail: (13,31)Current head: (10,36)
New head: (9,36)Removed tail: (12,31)Current head: (9,36)
New head: (8,36)Removed tail: (11,31)Current head: (8,36)
New head: (8,35)Removed tail: (11,32)Current head: (8,35)
New head: (8,34)Removed tail: (11,33)Current head: (8,34)
New head: (8,33)Removed tail: (11,34)Current head: (8,33)
New head: (8,32)Removed tail: (11,35)Current head: (8,32)
New head: (8,31)Removed tail: (11,36)Current head: (8,31)
New head: (9,31)Removed tail: (10,36)Current head: (9,31)
New head: (10,31)Removed tail: (9,36)Current head: (10,31)
New head: (11,31)Removed tail: (8,36)Current head: (11,31)
New head: (11,32)Removed tail: (8,35)Current head: (11,32)
New head: (11,33)Removed tail: (8,34)Current head: (11,33)
New head: (10,33)Removed tail: (8,33)Current head: (10,33)
New head: (9,33)Removed tail: (8,32)Current head: (9,33)
New head: (9,32)Removed tail: (8,31)Current head: (9,32)
New head: (9,31)Removed tail: (9,31)Current head: (9,31)
New head: (10,31)Removed tail: (10,31)Current head: (10,31)
New head: (11,31)Removed tail: (11,31)Current head: (11,31)
New head: (12,31)Removed tail: (11,32)Current head: (12,31)
New head: (13,31)Removed tail: (11,33)Current head: (13,31)
New head: (14,31)Removed tail: (10,33)Current head: (14,31)
New head: (15,31)Removed tail: (9,33)Current head: (15,31)
New head: (16,31)Removed tail: (9,32)Current head: (16,31)
New head: (17,31)Removed tail: (9,31)Current head: (17,31)
New head: (17,32)Removed tail: (10,31)Current head: (17,32)
New head: (17,33)Removed tail: (11,31)Current head: (17,33)
New head: (16,33)Removed tail: (12,31)Current head: (16,33)
New head: (15,33)Removed tail: (13,31)Current head: (15,33)
New head: (14,33)Removed tail: (14,31)Current head: (14,33)
New head: (13,33)Removed tail: (15,31)Current head: (13,33)
New head: (12,33)Removed tail: (16,31)Current head: (12,33)
New head: (11,33)Removed tail: (17,31)Current head: (11,33)
New head: (11,34)Removed tail: (17,32)Current head: (11,34)
New head: (11,35)Removed tail: (17,33)Current head: (11,35)
New head: (10,35)Removed tail: (16,33)Current head: (10,35)
New head: (9,35)Removed tail: (15,33)Current head: (9,35)
New head: (9,36)Removed tail: (14,33)Current head: (9,36)
New head: (9,37)Removed tail: (13,33)Current head: (9,37)
New head: (8,37)Removed tail: (12,33)Current head: (8,37)
New head: (7,37)Removed tail: (11,33)Current head: (7,37)
New head: (7,38)Removed tail: (11,34)Current head: (7,38)
New head: (7,39)Removed tail: (11,35)Current head: (7,39)
New head: (6,39)Removed tail: (10,35)Current head: (6,39)
New head: (5,39)Removed tail: (9,35)Current head: (5,39)
New head: (5,40)Removed tail: (9,36)Current head: (5,40)
New head: (5,41)Removed tail: (9,37)Current head: (5,41)
New head: (4,41)Removed tail: (8,37)Current head: (4,41)
New head: (3,41)Removed tail: (7,37)Current head: (3,41)
New head: (3,42)Removed tail: (7,38)Current head: (3,42)
New head: (3,43)Removed tail: (7,39)Current head: (3,43)
New head: (4,43)Removed tail: (6,39)Current head: (4,43)
New head: (5,43)Removed tail: (5,39)Current head: (5,43)
New head: (6,43)Removed tail: (5,40)Current head: (6,43)
New head: (6,44)Removed tail: (5,41)Current head: (6,44)
New head: (6,45)Removed tail: (4,41)Current head: (6,45)
New head: (5,45)Removed tail: (3,41)Current head: (5,45)
New head: (4,45)Removed tail: (3,42)Current head: (4,45)
New head: (3,45)Removed tail: (3,43)Current head: (3,45)
New head: (3,46)Removed tail: (4,43)Current head: (3,46)
New head: (3,47)Removed tail: (5,43)Current head: (3,47)
New head: (3,48)Removed tail: (6,43)Current head: (3,48)
New head: (4,48)Removed tail: (6,44)Current head: (4,48)
New head: (5,48)Removed tail: (6,45)Current head: (5,48)
New head: (6,48)Removed tail: (5,45)Current head: (6,48)
New head: (7,48)Removed tail: (4,45)Current head: (7,48)
New head: (7,47)Removed tail: (3,45)Current head: (7,47)
New head: (7,46)Removed tail: (3,46)Current head: (7,46)
New head: (7,45)Removed tail: (3,47)Current head: (7,45)
New head: (6,45)Removed tail: (3,48)Current head: (6,45)
New head: (5,45)Removed tail: (4,48)Current head: (5,45)
New head: (4,45)Removed tail: (5,48)Current head: (4,45)
New head: (4,44)Current head: (4,44)
New head: (4,43)Removed tail: (6,48)Current head: (4,43)
New head: (4,42)Removed tail: (7,48)Current head: (4,42)
New head: (5,42)Removed tail: (7,47)Current head: (5,42)
New head: (6,42)Removed tail: (7,46)Current head: (6,42)
New head: (6,41)Removed tail: (7,45)Current head: (6,41)
New head: (6,40)Removed tail: (6,45)Current head: (6,40)
New head: (6,39)Removed tail: (5,45)Current head: (6,39)
New head: (5,39)Removed tail: (4,45)Current head: (5,39)
New head: (4,39)Removed tail: (4,44)Current head: (4,39)
New head: (4,38)Removed tail: (4,43)Current head: (4,38)
New head: (4,37)Removed tail: (4,42)Current head: (4,37)
New head: (4,36)Removed tail: (5,42)Current head: (4,36)
New head: (4,35)Removed tail: (6,42)Current head: (4,35)
New head: (3,35)Removed tail: (6,41)Current head: (3,35)
New head: (2,35)Removed tail: (6,40)Current head: (2,35)
New head: (2,34)Removed tail: (6,39)Current head: (2,34)
New head: (2,33)Removed tail: (5,39)Current head: (2,33)
New head: (2,32)Removed tail: (4,39)Current head: (2,32)
New head: (3,32)Removed tail: (4,38)Current head: (3,32)
New head: (4,32)Removed tail: (4,37)Current head: (4,32)
New head: (5,32)Removed tail: (4,36)Current head: (5,32)
New head: (5,31)Removed tail: (4,35)Current head: (5,31)
New head: (5,30)Removed tail: (3,35)Current head: (5,30)
New head: (5,29)Removed tail: (2,35)Current head: (5,29)
New head: (4,29)Removed tail: (2,34)Current head: (4,29)
New head: (3,29)Removed tail: (2,33)Current head: (3,29)
New head: (3,28)Removed tail: (2,32)Current head: (3,28)
New head: (3,27)Current head: (3,27)
New head: (3,26)Removed tail: (5,32)Current head: (3,26)
New head: (4,26)Removed tail: (5,31)Current head: (4,26)
New head: (5,26)Removed tail: (5,30)Current head: (5,26)
New head: (6,26)Removed tail: (5,29)Current head: (6,26)
New head: (7,26)Removed tail: (4,29)Current head: (7,26)
